"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Petugas/Pages/ProfilePetugas/DataProfilePetugas.js", "JavaScript", 223, 0, 10, 13, 246
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Petugas/Pages/ProfilePetugas/NoProfile.js", "JavaScript", 200, 0, 8, 15, 223
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Petugas/Pages/ProfilePetugas/index.js", "JavaScript", 30, 0, 3, 5, 38
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Petugas/Pages/RegistrasiPetugas.js", "JavaScript", 172, 0, 1, 15, 188
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Components/MenuBar.js", "JavaScript", 164, 0, 0, 11, 175
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Components/MenuPosko.css", "CSS", 0, 3, 1, 0, 4
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Components/MenuPosko.js", "JavaScript", 152, 0, 2, 11, 165
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/CustomizedSnackbars.js", "JavaScript", 45, 0, 0, 8, 53
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/BantuanKeluarPosko/BantuanKeluar.css", "CSS", 0, 14, 0, 3, 17
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/BantuanKeluarPosko/Confirmation.js", "JavaScript", 75, 0, 0, 7, 82
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/BantuanKeluarPosko/DataBantuanKeluar.js", "JavaScript", 55, 0, 0, 4, 59
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/BantuanKeluarPosko/FormBantuanKeluar.js", "JavaScript", 219, 0, 5, 14, 238
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/BantuanKeluarPosko/ItemData.js", "JavaScript", 162, 0, 9, 7, 178
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/BantuanKeluarPosko/NoData.js", "JavaScript", 66, 0, 0, 8, 74
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/BantuanKeluarPosko/Table.js", "JavaScript", 87, 0, 0, 3, 90
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/BantuanKeluarPosko/TableBantuanKeluar.js", "JavaScript", 144, 0, 0, 10, 154
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/BantuanKeluarPosko/index.js", "JavaScript", 48, 0, 1, 8, 57
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/BantuanMasukPosko/BantuanMasukPosko.css", "CSS", 0, 14, 0, 3, 17
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/BantuanMasukPosko/BantuanMasukPosko.js", "JavaScript", 115, 0, 11, 11, 137
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/BantuanMasukPosko/Confirmation.js", "JavaScript", 76, 0, 0, 7, 83
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/BantuanMasukPosko/DataBantuanMasuk.js", "JavaScript", 57, 0, 0, 4, 61
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/BantuanMasukPosko/FormBantuanMasuk.js", "JavaScript", 238, 0, 12, 15, 265
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/BantuanMasukPosko/InitData.js", "JavaScript", 87, 0, 1, 7, 95
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/BantuanMasukPosko/ItemData.js", "JavaScript", 162, 0, 10, 7, 179
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/BantuanMasukPosko/NoData.js", "JavaScript", 66, 0, 0, 7, 73
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/BantuanMasukPosko/Table.js", "JavaScript", 87, 0, 0, 3, 90
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/BantuanMasukPosko/TableBantuanMasuk.js", "JavaScript", 146, 0, 0, 10, 156
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/BantuanMasukPosko/index.js", "JavaScript", 47, 0, 1, 8, 56
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/DataPengungsi/DataDataPengungsi.js", "JavaScript", 247, 0, 1, 15, 263
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/DataPengungsi/DataPengungsi.js", "JavaScript", 36, 0, 1, 4, 41
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/DataPengungsi/NoPengungsi.js", "JavaScript", 79, 0, 0, 7, 86
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/DataPengungsi/Tabel.js", "JavaScript", 99, 0, 0, 7, 106
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/DataPengungsi/style.css", "CSS", 0, 20, 0, 7, 27
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/FasilitasPosko/DataFasilitasPosko.js", "JavaScript", 178, 0, 3, 8, 189
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/FasilitasPosko/FasilitasPosko.js", "JavaScript", 33, 0, 1, 6, 40
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/FasilitasPosko/NoDataFasilitasPosko.js", "JavaScript", 164, 0, 1, 8, 173
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/FasilitasPosko/style.css", "CSS", 0, 9, 0, 1, 10
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/Login.js", "JavaScript", 144, 0, 1, 13, 158
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/MainPosko.js", "JavaScript", 58, 0, 8, 11, 77
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/Map.js", "JavaScript", 19, 0, 1, 4, 24
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/PermintaanBantuan/DataPermintaanBantuan.js", "JavaScript", 216, 0, 1, 14, 231
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/PermintaanBantuan/NoDataPermintaanBantuan.js", "JavaScript", 80, 0, 0, 8, 88
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/PermintaanBantuan/PermintaanBantuan.js", "JavaScript", 35, 0, 1, 6, 42
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/PermintaanBantuan/Tabel.js", "JavaScript", 96, 0, 0, 8, 104
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/PermintaanBantuan/style.css", "CSS", 0, 20, 0, 6, 26
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/PoskoBencana/DataPetugas.js", "JavaScript", 92, 0, 0, 8, 100
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/PoskoBencana/EditProfile.js", "JavaScript", 268, 0, 2, 12, 282
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/PoskoBencana/FormPorfile.js", "JavaScript", 256, 0, 1, 14, 271
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/PoskoBencana/PoskoBencana.css", "CSS", 0, 22, 1, 2, 25
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/PoskoBencana/PoskoBencana.js", "JavaScript", 38, 0, 1, 5, 44
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/PoskoBencana/ProfilePosko.js", "JavaScript", 191, 0, 2, 11, 204
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/PoskoBencana/TabelPetugas.js", "JavaScript", 75, 0, 0, 7, 82
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/Registrasi-sample.js", "JavaScript", 103, 0, 3, 5, 111
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/Registrasi.js", "JavaScript", 191, 0, 2, 18, 211
"/Users/ardhian/Documents/TA FIX/my-final-project/src/actions/alert.js", "JavaScript", 10, 0, 1, 3, 14
"/Users/ardhian/Documents/TA FIX/my-final-project/src/actions/auth.js", "JavaScript", 115, 0, 5, 12, 132
"/Users/ardhian/Documents/TA FIX/my-final-project/src/actions/authAdmin.js", "JavaScript", 90, 0, 11, 12, 113
"/Users/ardhian/Documents/TA FIX/my-final-project/src/actions/authPetugas.js", "JavaScript", 90, 0, 11, 12, 113
"/Users/ardhian/Documents/TA FIX/my-final-project/src/actions/bantuanKeluar.js", "JavaScript", 106, 0, 4, 14, 124
"/Users/ardhian/Documents/TA FIX/my-final-project/src/actions/bantuanKeluarPos.js", "JavaScript", 106, 0, 4, 14, 124
"/Users/ardhian/Documents/TA FIX/my-final-project/src/actions/bantuanMasuk.js", "JavaScript", 106, 0, 4, 14, 124
"/Users/ardhian/Documents/TA FIX/my-final-project/src/actions/bantuanMasukPos.js", "JavaScript", 106, 0, 4, 14, 124
"/Users/ardhian/Documents/TA FIX/my-final-project/src/actions/dataBencana.js", "JavaScript", 174, 0, 9, 25, 208
"/Users/ardhian/Documents/TA FIX/my-final-project/src/actions/fasilitasPosko.js", "JavaScript", 94, 0, 5, 13, 112
"/Users/ardhian/Documents/TA FIX/my-final-project/src/actions/pengungsi.js", "JavaScript", 120, 0, 6, 18, 144
"/Users/ardhian/Documents/TA FIX/my-final-project/src/actions/permintaanBantuan.js", "JavaScript", 126, 0, 7, 18, 151
"/Users/ardhian/Documents/TA FIX/my-final-project/src/actions/profile.js", "JavaScript", 146, 0, 8, 22, 176
"/Users/ardhian/Documents/TA FIX/my-final-project/src/actions/profilePetugas.js", "JavaScript", 48, 0, 2, 9, 59
"/Users/ardhian/Documents/TA FIX/my-final-project/src/actions/setBantuanUtama.js", "JavaScript", 106, 0, 5, 16, 127
"/Users/ardhian/Documents/TA FIX/my-final-project/src/actions/types.js", "JavaScript", 62, 0, 7, 9, 78
"/Users/ardhian/Documents/TA FIX/my-final-project/src/index.css", "CSS", 0, 24, 18, 4, 46
"/Users/ardhian/Documents/TA FIX/my-final-project/src/index.js", "JavaScript", 5, 0, 0, 2, 7
"/Users/ardhian/Documents/TA FIX/my-final-project/src/layout/Alert.js", "JavaScript", 28, 0, 4, 5, 37
"/Users/ardhian/Documents/TA FIX/my-final-project/src/layout/Map.js", "JavaScript", 52, 0, 1, 4, 57
"/Users/ardhian/Documents/TA FIX/my-final-project/src/reducers/alert.js", "JavaScript", 13, 0, 0, 3, 16
"/Users/ardhian/Documents/TA FIX/my-final-project/src/reducers/auth.js", "JavaScript", 52, 0, 0, 5, 57
"/Users/ardhian/Documents/TA FIX/my-final-project/src/reducers/bantuanKeluar.js", "JavaScript", 47, 0, 0, 4, 51
"/Users/ardhian/Documents/TA FIX/my-final-project/src/reducers/bantuanMasuk.js", "JavaScript", 47, 0, 0, 4, 51
"/Users/ardhian/Documents/TA FIX/my-final-project/src/reducers/bantuanUtama.js", "JavaScript", 47, 0, 0, 5, 52
"/Users/ardhian/Documents/TA FIX/my-final-project/src/reducers/dataBencana.js", "JavaScript", 47, 0, 0, 6, 53
"/Users/ardhian/Documents/TA FIX/my-final-project/src/reducers/fasilitasPosko.js", "JavaScript", 47, 0, 0, 6, 53
"/Users/ardhian/Documents/TA FIX/my-final-project/src/reducers/index.js", "JavaScript", 23, 0, 0, 2, 25
"/Users/ardhian/Documents/TA FIX/my-final-project/src/reducers/laporanHarian.js", "JavaScript", 39, 0, 0, 5, 44
"/Users/ardhian/Documents/TA FIX/my-final-project/src/reducers/pengungsi.js", "JavaScript", 47, 0, 0, 4, 51
"/Users/ardhian/Documents/TA FIX/my-final-project/src/reducers/permintaanBantuan.js", "JavaScript", 47, 0, 0, 4, 51
"/Users/ardhian/Documents/TA FIX/my-final-project/src/reducers/profile.js", "JavaScript", 45, 0, 0, 4, 49
"/Users/ardhian/Documents/TA FIX/my-final-project/src/routing/PrivateRoute.js", "JavaScript", 27, 0, 0, 4, 31
"/Users/ardhian/Documents/TA FIX/my-final-project/src/store.js", "JavaScript", 12, 0, 0, 5, 17
"/Users/ardhian/Documents/TA FIX/my-final-project/src/utils/setTokenAuth.js", "JavaScript", 9, 0, 0, 3, 12
"Total", "-", 16220, 282, 484, 1412, 18398
